통계표,계정항목,단위,가중치,변환,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12
"4.2.1. 소비자물가지수","        마스크","2020=100","1.6","원자료","","","","","","","","","","","","","113.41","114.43","114.26","114.23","114.23","121.67","91.92","90.92","83.03","81.61","80.44","79.87","78.92","78.38","78.03","77.39","76.72","75.2","75.11","74.6","75.07","74.17","73.9","73.86","73.96","73.96","73.33","72.85","72.51","72.44","72.11","72.11","71.48","71.48","71.5","71.21","71.39","70.94","70.86","70.5","70.57","70.32","70.27","70.49","70.54","70.7","70.51","70.66","70.66","70.84","70.67","70.72","70.85","70.85","70.85","70.88","70.8","70.8","70.35","70.57"
"4.2.1. 소비자물가지수","        반창고","2020=100","0.1","원자료","","","","","","","","","","","","","99.7","100.01","99.58","100.18","99.97","99.99","99.81","99.69","99.91","100.51","100.4","100.28","100.57","100.51","100.9","100.48","100.12","99.6","99.54","99.54","99.54","99.56","99.56","99.51","99.52","99.59","99.63","99.66","99.71","99.86","99.86","99.74","99.82","99.85","99.84","99.86","99.86","99.92","99.97","100","100.06","100.12","100.25","100.37","100.48","100.58","100.66","100.66","100.86","100.98","101.12","101.47","101.52","101.55","101.63","101.63","101.7","101.69","101.73","101.74"
"4.2.1. 소비자물가지수","        안경","2020=100","1","원자료","101.093","100.91","100.106","100.096","100.34","100.259","100.411","100.391","100.35","100.391","100.493","100.086","100.11","100.13","100.1","100.33","100.24","99.87","99.69","99.94","99.89","99.77","100","99.91","99.91","99.91","99.79","99.73","99.31","99.42","99.07","99.02","99.18","99.2","99.17","99.31","99.2","99.2","97.88","98.19","98.19","98.24","98.24","98.33","98.5","98.5","98.39","98.52","99.39","100.3","100.86","101.17","101.31","101.42","101.39","101.16","100.85","100.69","101.1","101.18","101.1","100.96","100.98","101.21","101.19","101.21","101.12","101.17","101.1","101.19","101.54","101.25"
"4.2.1. 소비자물가지수","        콘택트렌즈","2020=100","1.4","원자료","101.659","101.627","98.999","98.873","98.588","98.071","99.147","100.16","100.339","100.92","100.561","100.339","100.67","100.47","100.39","100.53","99.8","100.27","99.94","99.92","99.93","99.67","99.51","98.9","98.9","98.52","98.09","97.8","96.09","96.8","96.61","96.81","96.03","96.5","96.18","96.02","95.58","95.38","94.84","94.27","94.39","93.69","93.57","93.4","93.38","93.53","93.7","92.82","92.02","92.15","92.28","94.23","95.15","95.53","95.32","95.15","95.15","94.91","95.18","95.12","95.25","94.83","95.56","97.85","98.26","98.24","98.31","98.15","97.97","98.38","98.73","98.73"
"4.2.1. 소비자물가지수","        의료측정기","2020=100","0.2","원자료","96.031","96.478","95.953","96.254","95.613","95.418","95.379","95.369","95.953","95.69","96.838","96.76","95.13","96.13","97.24","98.88","100.64","102.43","102.69","101.71","101.62","101.71","101.22","100.61","100.23","99.98","99.35","98.63","98.39","97.98","97.97","97.77","97.46","97.63","98.46","98.71","98.39","99","99.21","99.37","99.1","99.39","99.6","99.94","100.03","100.08","100","99.21","100.77","100.82","100.81","100.79","100.86","101.19","101.21","100.87","100.67","100.63","101.08","101.29","101.32","101.08","99.5","99.16","99.09","99.19","99.01","99.22","99.13","99","98.89","98.76"
"4.2.1. 소비자물가지수","        보청기","2020=100","0.6","원자료","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","101.85","101.85","101.95","101.95","101.95","101.95","101.95","101.95","101.95","101.95"
"4.2.1. 소비자물가지수","        건강기기렌탈비","2020=100","1.5","원자료","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.963","98.35","98.35","98.35","98.35","98.35","98.35","98.35","98.35","98.35","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","101.78","101.78","101.78","106.52","106.52","106.52","106.52"
"4.2.1. 소비자물가지수","        치료재료","2020=100","1.5","원자료","98.431","98.431","98.361","99.805","99.805","99.805","99.805","99.805","99.805","99.805","99.805","99.805","99.63","99.63","99.63","99.63","99.63","99.63","99.63","99.63","99.63","101.1","101.1","101.1","101.1","101.1","101.1","99.63","99.63","99.63","99.63","99.63","99.63","99.63","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","99.81","99.33","99.33","99.33","99.33","99.33","100.76","100.76","100.76","100.76","100.76","100.76","100.76","100.76","100.76","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31"
"4.2.1. 소비자물가지수","    외래환자 서비스","2020=100","37.4","원자료","98.129","98.139","98.064","97.833","97.833","97.805","97.796","97.805","97.805","97.824","97.814","97.814","99.93","99.95","99.93","99.94","99.96","99.98","100.01","100.05","100.1","100.11","100.02","100.02","101.5","101.5","101.53","101.55","101.56","101.57","101.56","101.59","101.6","101.61","101.59","101.6","103.57","103.59","103.6","103.63","103.67","103.7","103.72","103.72","103.7","103.71","103.72","103.7","105.45","105.46","105.48","105.52","105.55","105.53","105.54","105.55","105.56","105.56","105.57","105.52","107.38","107.39","107.43","107.45","107.43","107.49","107.5","107.53","107.53","107.59","107.62","107.64"
"4.2.1. 소비자물가지수","      의료서비스","2020=100","24.5","원자료","97.942","97.942","97.951","97.648","97.648","97.648","97.63","97.63","97.63","97.63","97.63","97.63","99.97","99.98","99.98","99.99","99.99","100.01","100.01","100.01","100.01","100.01","100.01","100.01","101.91","101.91","101.93","101.94","101.95","101.95","101.95","101.95","101.96","101.96","101.96","101.96","104.36","104.37","104.39","104.37","104.4","104.4","104.41","104.41","104.41","104.41","104.42","104.42","106.45","106.45","106.47","106.49","106.52","106.52","106.52","106.52","106.52","106.52","106.53","106.53","108.59","108.6","108.62","108.64","108.64","108.66","108.68","108.68","108.68","108.68","108.68","108.68"
